index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.8,3.5,-4.5,-19.8,2.5,-4.2,1,0.2,0,1,0.632249527,0.573444928,0.486056194,0.520845328,119.3737215,311.0759639,229.9942427,113.0230181,119.3737215,86.02950508,1.347881315,0.238444708,12,-0.534426852,-4.111950871,18.3032759,12,-0.09850177,-0.092479429,7.00487696,0.03632709,0.334955954,-0.941533245,0.673940658,1.91235481,-1.532232547,301.8969757,100.7129372,812.9692237,812.9692237,1,0.0
2,0.09,-13.5,3.6,-4.5,-19.8,1.9,-4.2,1,0.2,0,0.965146852,0.619285202,0.573885405,0.491355224,0.519295639,122.9652342,314.4673435,230.7380934,116.3131606,122.9652342,84.52138116,1.389454868,0.255464406,12,-0.534426852,-4.111950871,18.3032759,12,-0.059921019,-0.08284313,7.009864768,0.039542153,0.335758978,-0.941117594,0.694727434,1.913207195,-1.528804859,301.8969757,100.7129372,812.9692237,812.9692237,2,0.09
3,0.12,-13.9,3.5,-4.5,-19.8,1.9,-4.2,1,0.2,0,0.892634882,0.617981528,0.57161077,0.49202815,0.520408916,121.9080855,314.898016,230.2037201,115.3682422,121.9080855,84.308773,1.377124083,0.247468394,12,-0.534426852,-4.111950871,18.3032759,12,-0.055059654,-0.089255927,7.007784213,0.039947267,0.335224579,-0.941290974,0.688562041,1.912639918,-1.52838297,301.8969757,100.7129372,812.9692237,812.9692237,3,0.12
4,0.22,-14.3,3.5,-4.4,-19.8,1.8,-4.1,1,0.3,0,0.91573087,0.621348256,0.558318199,0.491473625,0.527996403,120.5370787,314.5431198,226.5617264,114.4532924,120.5370787,84.32972929,1.358779988,0.253242377,12,-0.534426852,-4.111950871,18.3032759,12,-0.059018075,-0.130769438,6.992918662,0.039617398,0.331765119,-0.94252977,0.679389994,1.908970382,-1.528788008,301.8969757,100.7129372,812.9692237,812.9692237,4,0.22
5,0.25,-14.5,3.5,-4.4,-19.8,1.8,-4.1,1,0.3,0,0.95826263,0.625783769,0.556816554,0.489799599,0.529316287,120.4348745,313.4717435,225.928182,114.4299115,120.4348745,84.81190114,1.357028464,0.248242493,12,-0.534426852,-4.111950871,18.3032759,12,-0.071125318,-0.137916009,6.989903345,0.038608461,0.331169572,-0.942781046,0.678514232,1.908339149,-1.529867523,301.8969757,100.7129372,812.9692237,812.9692237,5,0.25
6,0.28,-14.6,3.5,-4.8,-19.8,1.8,-4.1,1,0.3,0,0.062677246,0.835265175,0.555845796,0.378672037,0.574673048,250.7606353,242.3501034,204.1569367,236.6790087,250.7606353,-62.24118608,2.769874742,0.23224921,12,-0.534426852,-4.111950871,18.3032759,12,-0.871118091,-0.315612743,6.924591627,-0.028057603,0.316361511,-0.94822369,1.384937371,1.892687864,-1.600377342,301.8969757,100.7129372,812.9692237,812.9692237,6,0.28
7,0.35,-14.6,3.5,-4.8,-19.8,1.8,-4.1,1,0.3,0,0.056435186,0.830336322,0.566825982,0.37355923,0.564166919,250.0900327,239.077907,209.1998791,234.853812,250.0900327,-62.6238804,2.770016475,0.211977729,12,-0.534426852,-4.111950871,18.3032759,12,-0.910865718,-0.259632978,6.944669445,-0.031369905,0.321026491,-0.946550538,1.385008238,1.897609475,-1.603925491,301.8969757,100.7129372,812.9692237,812.9692237,7,0.35
8,0.38,-9.4,3.7,-3.6,-19.8,1.8,-4.1,1,0.3,0,0.044118435,0.230638521,0.13147504,0.576933538,0.69975607,257.0164971,369.2374641,144.1170865,247.9857969,257.0164971,32.35985019,2.763916973,0.16602193,12,-0.534426852,-4.111950871,18.3032759,12,0.560886579,-0.973220088,6.772939499,0.091276119,0.261560899,-0.960861367,1.381958486,1.835435374,-1.476086471,301.8969757,100.7129372,812.9692237,812.9692237,8,0.38
9,0.45,-15.5,1.8,-4.5,-19.8,1.8,-4.1,1,0.3,0,0.046182374,0.627688898,0.058235972,0.474850214,0.777660787,264.7255651,303.9041369,106.7228222,259.0857563,264.7255651,-6.756878658,2.767167238,0.354832854,12,-0.534426852,-4.111950871,18.3032759,12,-0.163016051,-1.357315201,6.629628813,0.0309509,0.229552973,-0.972803924,1.383583619,1.802414692,-1.538990881,301.8969757,100.7129372,812.9692237,812.9692237,9,0.45
10,0.48,-15.5,2.3,-4.9,-19.8,1.7,-4.1,1,0.3,0,0.066359808,0.828083259,0.261568557,0.418347351,0.729226941,262.1218343,267.7423045,129.9710685,255.9060392,262.1218343,-31.12870384,2.773082158,0.378134571,12,-0.534426852,-4.111950871,18.3032759,12,-0.562508312,-1.113400992,6.683985473,-0.002340122,0.249879157,-0.968274202,1.386541079,1.823351777,-1.573213119,301.8969757,100.7129372,812.9692237,812.9692237,10,0.48
